iter	Passed	Remaining
0	0	36
1	0	37
2	1	34
3	1	31
4	1	32
5	1	30
6	2	29
7	2	29
8	2	28
9	3	27
10	3	27
11	3	26
12	3	25
13	4	25
14	4	25
15	4	25
16	5	25
17	5	24
18	5	24
19	5	23
20	6	23
21	6	23
22	6	22
23	7	22
24	7	21
25	7	21
26	7	21
27	8	21
28	8	21
29	18	44
30	19	42
31	19	42
32	30	61
33	30	59
34	31	57
35	31	56
36	31	54
37	32	52
38	32	50
39	32	49
40	32	47
41	33	45
42	34	45
43	34	43
44	34	42
45	34	40
46	35	39
47	35	38
48	36	37
49	36	36
50	37	35
51	37	34
52	37	33
53	38	32
54	38	31
55	38	30
56	39	29
57	39	28
58	39	27
59	40	26
60	40	25
61	40	24
62	41	24
63	41	23
64	41	22
65	42	21
66	42	20
67	42	20
68	42	19
69	43	18
70	43	17
71	43	17
72	44	16
73	44	15
74	44	14
75	44	14
76	45	13
77	45	12
78	45	12
79	46	11
80	46	10
81	46	10
82	47	9
83	47	9
84	47	8
85	47	7
86	48	7
87	48	6
88	48	6
89	48	5
90	49	4
91	49	4
92	49	3
93	50	3
94	50	2
95	50	2
96	51	1
97	51	1
98	51	0
99	51	0
