iter	Passed	Remaining
0	2	2647
1	3	1505
2	3	1141
3	3	961
4	4	851
5	4	785
6	5	735
7	5	699
8	6	669
9	6	635
10	6	602
11	7	591
12	7	577
13	8	571
14	8	565
15	8	549
16	9	535
17	9	520
18	9	507
19	10	497
20	10	487
21	10	486
22	11	479
23	11	471
24	11	464
25	12	456
26	12	451
27	12	444
28	13	440
29	13	437
30	13	431
31	14	426
32	14	424
33	14	423
34	15	422
35	15	423
36	16	423
37	16	421
38	17	420
39	17	416
40	17	413
41	18	412
42	18	409
43	18	406
44	19	403
45	19	402
46	19	400
47	20	399
48	20	396
49	20	394
50	21	391
51	21	388
52	21	385
53	22	386
54	22	383
55	22	380
56	22	379
57	23	378
58	23	376
59	23	375
60	24	373
61	24	371
62	24	370
63	25	368
64	25	366
65	25	367
66	26	366
67	26	366
68	27	365
69	27	365
70	27	364
71	28	362
72	28	361
73	28	359
74	29	358
75	29	358
76	29	358
77	30	357
78	30	355
79	30	354
80	31	354
81	31	352
82	31	349
83	32	349
84	32	348
85	32	347
86	32	345
87	33	344
88	33	343
89	33	342
90	34	340
91	34	338
92	34	337
93	34	336
94	35	335
95	35	334
96	35	333
97	36	331
98	36	331
99	36	330
100	36	329
101	37	329
102	37	329
103	38	328
104	38	327
105	38	327
106	39	327
107	39	326
108	39	325
109	40	325
110	40	324
111	40	324
112	41	323
113	41	322
114	41	321
115	42	320
116	42	319
117	42	318
118	42	317
119	43	317
120	43	316
121	43	314
122	43	313
123	44	312
124	44	311
125	44	311
126	45	310
127	45	309
128	45	308
129	46	308
130	46	308
131	46	307
132	47	306
133	47	306
134	47	305
135	47	304
136	48	304
137	48	303
138	48	303
139	49	302
140	49	302
141	49	300
142	50	300
143	50	301
144	51	300
145	51	300
146	51	299
147	51	299
148	52	299
149	52	298
150	53	298
151	53	298
152	53	298
153	54	297
154	54	296
155	54	296
156	55	296
157	55	295
158	55	295
159	56	294
160	56	293
161	56	292
162	56	292
163	57	291
164	57	291
165	57	291
166	58	290
167	58	290
168	58	290
169	59	289
170	59	289
171	60	288
172	60	288
173	60	288
174	60	287
175	61	287
176	61	287
177	62	286
178	62	286
179	62	285
180	62	285
181	63	284
182	63	284
183	64	284
184	64	283
185	64	284
186	65	283
187	65	283
188	66	283
189	66	283
190	66	282
191	67	282
192	67	282
193	67	281
194	68	281
195	68	280
196	68	280
197	69	280
198	69	279
199	69	279
200	70	278
201	70	278
202	70	277
203	71	277
204	71	276
205	71	276
206	72	276
207	72	276
208	72	275
209	73	275
210	73	275
211	73	275
212	74	274
213	74	274
214	74	273
215	75	273
216	75	272
217	75	272
218	76	271
219	76	270
220	76	270
221	77	269
222	77	269
223	77	269
224	78	268
225	78	268
226	78	268
227	79	267
228	79	267
229	79	266
230	80	266
231	80	266
232	80	266
233	81	266
234	81	265
235	81	265
236	82	264
237	82	264
238	82	263
239	83	263
240	83	263
241	83	262
242	84	262
243	84	262
244	85	262
245	85	261
246	86	262
247	86	262
248	86	262
249	87	262
250	87	261
251	87	261
252	88	260
253	88	260
254	88	259
255	89	259
256	89	258
257	89	258
258	90	257
259	90	257
260	90	257
261	91	256
262	91	256
263	91	255
264	92	255
265	92	255
266	92	254
267	92	253
268	93	253
269	93	253
270	94	253
271	94	252
272	94	252
273	95	251
274	95	251
275	95	251
276	96	251
277	96	250
278	96	250
279	97	250
280	97	249
281	97	249
282	98	248
283	98	248
284	98	247
285	99	247
286	99	247
287	99	247
288	100	246
289	100	246
290	100	245
291	101	245
292	101	244
293	101	244
294	102	244
295	102	244
296	102	243
297	103	243
298	103	243
299	104	242
300	104	242
301	104	242
302	105	241
303	105	241
304	105	240
305	106	240
306	106	240
307	106	239
308	107	239
309	107	239
310	107	238
311	108	238
312	108	237
313	108	237
314	109	237
315	109	236
316	109	236
317	110	236
318	110	235
319	110	235
320	111	235
321	111	235
322	111	234
323	112	234
324	112	234
325	112	233
326	113	233
327	113	232
328	113	232
329	114	231
330	114	231
331	114	230
332	115	230
333	115	229
334	115	229
335	116	229
336	116	229
337	116	228
338	117	228
339	117	228
340	117	227
341	118	227
342	118	226
343	118	226
344	119	226
345	119	225
346	119	225
347	120	224
348	120	224
349	120	224
350	121	223
351	121	223
352	121	222
353	121	222
354	122	222
355	122	221
356	122	221
357	123	220
358	123	220
359	123	219
360	124	219
361	124	219
362	124	218
363	124	218
364	125	218
365	125	217
366	125	217
367	126	216
368	126	216
369	127	216
370	127	216
371	127	215
372	128	215
373	128	215
374	128	214
375	129	214
376	129	214
377	129	213
378	130	213
379	130	213
380	130	212
381	131	212
382	131	211
383	131	211
384	132	210
385	132	210
386	132	210
387	132	209
388	133	209
389	133	209
390	133	208
391	134	208
392	134	207
393	134	207
394	135	206
395	135	206
396	135	206
397	136	205
398	136	205
399	136	205
400	137	204
401	137	204
402	137	204
403	138	203
404	138	203
405	138	203
406	139	202
407	139	202
408	139	202
409	140	201
410	140	201
411	140	201
412	141	200
413	141	200
414	141	199
415	142	199
416	142	199
417	142	198
418	143	198
419	143	198
420	143	197
421	144	197
422	144	197
423	144	196
424	145	196
425	145	196
426	145	195
427	146	195
428	146	195
429	146	194
430	147	194
431	147	193
432	147	193
433	148	193
434	148	193
435	149	193
436	149	192
437	149	192
438	150	192
439	150	191
440	150	191
441	151	190
442	151	190
443	151	190
444	152	189
445	152	189
446	152	189
447	153	188
448	153	188
449	154	188
450	154	188
451	154	187
452	155	187
453	155	187
454	155	186
455	156	186
456	156	186
457	157	185
458	157	185
459	157	185
460	158	184
461	158	184
462	158	184
463	159	183
464	159	183
465	159	183
466	160	182
467	160	182
468	160	181
469	160	181
470	161	181
471	161	180
472	161	180
473	162	179
474	162	179
475	162	179
476	162	178
477	163	178
478	163	177
479	163	177
480	164	177
481	164	176
482	164	176
483	165	176
484	165	175
485	165	175
486	165	174
487	166	174
488	166	174
489	166	173
490	167	173
491	167	172
492	167	172
493	168	172
494	168	171
495	168	171
496	168	170
497	169	170
498	169	170
499	169	169
500	170	169
501	170	169
502	170	168
503	171	168
504	171	168
505	171	167
506	171	167
507	172	166
508	172	166
509	172	166
510	173	165
511	173	165
512	173	165
513	174	164
514	174	164
515	174	163
516	175	163
517	175	163
518	175	162
519	176	162
520	176	162
521	176	161
522	177	161
523	177	161
524	177	160
525	178	160
526	178	160
527	178	159
528	178	159
529	179	158
530	179	158
531	179	158
532	180	157
533	180	157
534	180	157
535	181	156
536	181	156
537	181	155
538	181	155
539	182	155
540	182	154
541	182	154
542	183	154
543	183	153
544	183	153
545	183	152
546	184	152
547	184	152
548	184	151
549	185	151
550	185	151
551	185	150
552	186	150
553	186	150
554	186	149
555	187	149
556	187	149
557	187	148
558	187	148
559	188	147
560	188	147
561	188	147
562	189	146
563	189	146
564	189	146
565	190	145
566	190	145
567	190	145
568	190	144
569	191	144
570	191	143
571	191	143
572	192	143
573	192	142
574	192	142
575	193	142
576	193	141
577	193	141
578	193	141
579	194	140
580	194	140
581	194	139
582	195	139
583	195	139
584	195	138
585	195	138
586	196	138
587	196	137
588	196	137
589	197	137
590	197	136
591	197	136
592	198	136
593	198	135
594	198	135
595	199	134
596	199	134
597	199	134
598	200	133
599	200	133
